紀錄時間,分類,商品名稱,價格,商品網址
2026-03-03,手機,ADAM elements 亞果元素 QI2 15W極致版車用磁吸充電器  CQ1,680,https://www.tw.coupang.com/products/ADAM-elements-%E4%BA%9E%E6%9E%9C%E5%85%83%E7%B4%A0-QI2-15W%E6%A5%B5%E8%87%B4%E7%89%88%E8%BB%8A%E7%94%A8%E7%A3%81%E5%90%B8%E5%85%85%E9%9B%BB%E5%99%A8-531333432393728
2026-03-03,手機,Soodatek GaN PD 65W 氮化鎵高速充電 USB-C 套裝 USB-C to C 3A 快傳輸線 100 cm + 200 cm  白色  1盒,679,https://www.tw.coupang.com/products/Soodatek-GaN-PD-65W-%E6%B0%AE%E5%8C%96%E9%8E%B5%E9%AB%98%E9%80%9F%E5%85%85%E9%9B%BB-USB-C-%E5%A5%97%E8%A3%9D-USB-C-to-C-3A-%E5%BF%AB%E5%82%B3%E8%BC%B8%E7%B7%9A-100-cm-%2B-200-cm-531264704512000
2026-03-03,手機,GoodValue Quick Fit滑動式全覆蓋鋼化玻璃手機螢幕保護貼 2入組  1套,77,https://www.tw.coupang.com/products/GoodValue-Quick-Fit%E6%BB%91%E5%8B%95%E5%BC%8F%E5%85%A8%E8%A6%86%E8%93%8B%E9%8B%BC%E5%8C%96%E7%8E%BB%E7%92%83%E6%89%8B%E6%A9%9F%E8%9E%A2%E5%B9%95%E4%BF%9D%E8%AD%B7%E8%B2%BC-2%E5%85%A5%E7%B5%84-21008542444496
2026-03-03,手機,HIGHON 咕嚕米 MagSafe 防撞手機殼,61,https://www.tw.coupang.com/products/HIGHON-%E5%92%95%E5%9A%95%E7%B1%B3-MagSafe-%E9%98%B2%E6%92%9E%E6%89%8B%E6%A9%9F%E6%AE%BC-21008514922840
2026-03-03,手機,Onenough 坦克熊戒指手機殼,84,https://www.tw.coupang.com/products/Onenough-%E5%9D%A6%E5%85%8B%E7%86%8A%E6%88%92%E6%8C%87%E6%89%8B%E6%A9%9F%E6%AE%BC-21008742858077
2026-03-03,手機,NAHARO MagSafe Armor Hybrid 手機殼,293,https://www.tw.coupang.com/products/NAHARO-MagSafe-Armor-Hybrid-%E6%89%8B%E6%A9%9F%E6%AE%BC-21008123438105
2026-03-03,手機,Kinyo Micro USB 充電傳輸連接線  黑色  1條  1.2m,59,https://www.tw.coupang.com/products/Kinyo-Micro-USB-%E5%85%85%E9%9B%BB%E5%82%B3%E8%BC%B8%E9%80%A3%E6%8E%A5%E7%B7%9A-530234352762881
2026-03-03,手機,Onenough 鏡頭防護蓋果凍手機殼,52,https://www.tw.coupang.com/products/Onenough-%E9%8F%A1%E9%A0%AD%E9%98%B2%E8%AD%B7%E8%93%8B%E6%9E%9C%E5%87%8D%E6%89%8B%E6%A9%9F%E6%AE%BC-21007685275986
2026-03-03,手機,PHILIPS 飛利浦 高解析度 USB Type-C 轉 3.5mm 耳機麥克風連接轉接器  11cm  白色  1個,60,https://www.tw.coupang.com/products/PHILIPS-%E9%A3%9B%E5%88%A9%E6%B5%A6-%E9%AB%98%E8%A7%A3%E6%9E%90%E5%BA%A6-USB-Type-C-%E8%BD%89-3.5mm-%E8%80%B3%E6%A9%9F%E9%BA%A5%E5%85%8B%E9%A2%A8%E9%80%A3%E6%8E%A5%E8%BD%89%E6%8E%A5%E5%99%A8-21008567154121
2026-03-03,手機,Silicon Power 廣穎電通 Superior microSD 512GB U3 A2 V30 4K 高耐用記憶卡 含轉卡  1個,1799,https://www.tw.coupang.com/products/Silicon-Power-%E5%BB%A3%E7%A9%8E%E9%9B%BB%E9%80%9A-Superior-microSD-512GB-U3-A2-V30-4K-%E9%AB%98%E8%80%90%E7%94%A8%E8%A8%98%E6%86%B6%E5%8D%A1-%E5%90%AB%E8%BD%89%E5%8D%A1-532074037411840
2026-03-03,手機,立元 iPhone16系列 鑽石級9D高清鋼化膜  1個,91,https://www.tw.coupang.com/products/%E7%AB%8B%E5%85%83-iPhone16%E7%B3%BB%E5%88%97-%E9%91%BD%E7%9F%B3%E7%B4%9A9D%E9%AB%98%E6%B8%85%E9%8B%BC%E5%8C%96%E8%86%9C-527370733666305
2026-03-03,手機,EXCCI Pavis 轉軸保護 氣墊防撞 防指紋 霧面 全包覆 防撞 手機殼,201,https://www.tw.coupang.com/products/EXCCI-Pavis-%E8%BD%89%E8%BB%B8%E4%BF%9D%E8%AD%B7-%E6%B0%A3%E5%A2%8A%E9%98%B2%E6%92%9E-%E9%98%B2%E6%8C%87%E7%B4%8B-%E9%9C%A7%E9%9D%A2-%E5%85%A8%E5%8C%85%E8%A6%86-%E9%98%B2%E6%92%9E-%E6%89%8B%E6%A9%9F%E6%AE%BC-21007493467213
2026-03-03,手機,Songwin 尚之宇 USB 對 Lightning 20W 編織快充線  1.2m  1條,39,https://www.tw.coupang.com/products/Songwin-%E5%B0%9A%E4%B9%8B%E5%AE%87-USB-%E5%B0%8D-Lightning-20W-%E7%B7%A8%E7%B9%94%E5%BF%AB%E5%85%85%E7%B7%9A-520117385347072
2026-03-03,手機,KTnet 廣鐸 USB-安卓充電傳輸線 G111 2A 1.2m  黑色  1條,32,https://www.tw.coupang.com/products/KTnet-%E5%BB%A3%E9%90%B8-USB-%E5%AE%89%E5%8D%93%E5%85%85%E9%9B%BB%E5%82%B3%E8%BC%B8%E7%B7%9A-G111-2A-1.2m-518973707747328
2026-03-03,手機,UAG Monarch 克維拉磁吸手機殼,1778,https://www.tw.coupang.com/products/UAG-Monarch-%E5%85%8B%E7%B6%AD%E6%8B%89%E7%A3%81%E5%90%B8%E6%89%8B%E6%A9%9F%E6%AE%BC-21008513421348
2026-03-03,手機,UAG Pathfinder 磁吸手機殼,1178,https://www.tw.coupang.com/products/UAG-Pathfinder-%E7%A3%81%E5%90%B8%E6%89%8B%E6%A9%9F%E6%AE%BC-21007809538458
2026-03-03,手機,EXCCI Pavis 防指紋霧面全包覆支架式 MagSafe 兼容防撞手機殼,221,https://www.tw.coupang.com/products/EXCCI-Pavis-%E9%98%B2%E6%8C%87%E7%B4%8B%E9%9C%A7%E9%9D%A2%E5%85%A8%E5%8C%85%E8%A6%86%E6%94%AF%E6%9E%B6%E5%BC%8F-MagSafe-%E5%85%BC%E5%AE%B9%E9%98%B2%E6%92%9E%E6%89%8B%E6%A9%9F%E6%AE%BC-21007077336391
2026-03-03,手機,Onenough Multi Max 卡片防撞手機殼,85,https://www.tw.coupang.com/products/Onenough-Multi-Max-%E5%8D%A1%E7%89%87%E9%98%B2%E6%92%9E%E6%89%8B%E6%A9%9F%E6%AE%BC-21008457358905
2026-03-03,手機,SINJIMORU 易貼合 PET 全覆蓋修復手機螢幕保護貼 2片組  1套,60,https://www.tw.coupang.com/products/SINJIMORU-%E6%98%93%E8%B2%BC%E5%90%88-PET-%E5%85%A8%E8%A6%86%E8%93%8B%E4%BF%AE%E5%BE%A9%E6%89%8B%E6%A9%9F%E8%9E%A2%E5%B9%95%E4%BF%9D%E8%AD%B7%E8%B2%BC-2%E7%89%87%E7%B5%84-21007783718957
2026-03-03,手機,POLYWELL 寶利威爾 USB 2.0 A to B 印表機傳輸線 PW15-W45-M651  1條  1m  黑色,35,https://www.tw.coupang.com/products/POLYWELL-%E5%AF%B6%E5%88%A9%E5%A8%81%E7%88%BE-USB-2.0-A-to-B-%E5%8D%B0%E8%A1%A8%E6%A9%9F%E5%82%B3%E8%BC%B8%E7%B7%9A-PW15-W45-M651-509859795468297
2026-03-03,手機,鏡頭加高馬卡龍磨砂磁吸magsafe手機保護殼,80,https://www.tw.coupang.com/products/%E9%8F%A1%E9%A0%AD%E5%8A%A0%E9%AB%98%E9%A6%AC%E5%8D%A1%E9%BE%8D%E7%A3%A8%E7%A0%82%E7%A3%81%E5%90%B8magsafe%E6%89%8B%E6%A9%9F%E4%BF%9D%E8%AD%B7%E6%AE%BC-509160781217793
2026-03-03,手機,RONEVER TYPE-C to USB 轉接頭  灰色  1個  3.2cm,69,https://www.tw.coupang.com/products/RONEVER-TYPE-C-to-USB-%E8%BD%89%E6%8E%A5%E9%A0%AD-508865674117125
2026-03-03,手機,RASTO Type-C轉USB鋁製轉接頭 RX58  黑色  1個,38,https://www.tw.coupang.com/products/RASTO-Type-C%E8%BD%89USB%E9%8B%81%E8%A3%BD%E8%BD%89%E6%8E%A5%E9%A0%AD-RX58-508529198743556
2026-03-03,手機,RHINOSHIELD 犀牛盾 Magsafe磁吸 相機按鈕款 手機殼,725,https://www.tw.coupang.com/products/RHINOSHIELD-%E7%8A%80%E7%89%9B%E7%9B%BE-Magsafe%E7%A3%81%E5%90%B8-%E7%9B%B8%E6%A9%9F%E6%8C%89%E9%88%95%E6%AC%BE-%E6%89%8B%E6%A9%9F%E6%AE%BC-468981634809866
2026-03-03,手機,RHINOSHIELD 犀牛盾 Ultra Lanyard 二合一機能掛繩  黑色  1條,698,https://www.tw.coupang.com/products/RHINOSHIELD-%E7%8A%80%E7%89%9B%E7%9B%BE-Ultra-Lanyard-%E4%BA%8C%E5%90%88%E4%B8%80%E6%A9%9F%E8%83%BD%E6%8E%9B%E7%B9%A9-508468918124549
2026-03-03,手機,PHILIPS 飛利浦 AC自帶Type-C線行動電源 22.5W  DLP5201CW/96  白色,588,https://www.tw.coupang.com/products/PHILIPS-%E9%A3%9B%E5%88%A9%E6%B5%A6-AC%E8%87%AA%E5%B8%B6Type-C%E7%B7%9A%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90-22.5W-504489899360256
2026-03-03,手機,MECSEED 0.5mm 超薄保護殼 防變色超薄硬殼手機殼,86,https://www.tw.coupang.com/products/MECSEED-0.5mm-%E8%B6%85%E8%96%84%E4%BF%9D%E8%AD%B7%E6%AE%BC-%E9%98%B2%E8%AE%8A%E8%89%B2%E8%B6%85%E8%96%84%E7%A1%AC%E6%AE%BC%E6%89%8B%E6%A9%9F%E6%AE%BC-21008098618346
2026-03-03,手機,HONG JIN 宏晉 自帶線行動電源 8.3 x 6.5 x 2.6cm  MINI-SP  乾燥玫瑰  1個,313,https://www.tw.coupang.com/products/HONG-JIN-%E5%AE%8F%E6%99%89-%E8%87%AA%E5%B8%B6%E7%B7%9A%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90-8.3-x-6.5-x-2.6cm-503734396174336
2026-03-03,手機,araree 野馬書本式手機殼,346,https://www.tw.coupang.com/products/araree-%E9%87%8E%E9%A6%AC%E6%9B%B8%E6%9C%AC%E5%BC%8F%E6%89%8B%E6%A9%9F%E6%AE%BC-21000033416927
2026-03-03,手機,EXCCI Pure Bumper MagSafe 手機殼,67,https://www.tw.coupang.com/products/EXCCI-Pure-Bumper-MagSafe-%E6%89%8B%E6%A9%9F%E6%AE%BC-21007655843652
2026-03-03,手機,TEAMGROUP 十銓 4K專用高速記憶卡 ELITE MicroSDXC UHS-I U3 A1 128GB 含轉卡  1個,330,https://www.tw.coupang.com/products/TEAMGROUP-%E5%8D%81%E9%8A%93-4K%E5%B0%88%E7%94%A8%E9%AB%98%E9%80%9F%E8%A8%98%E6%86%B6%E5%8D%A1-ELITE-MicroSDXC-UHS-I-U3-A1-128GB-%E5%90%AB%E8%BD%89%E5%8D%A1-503362071986179
2026-03-03,手機,Cover72 Galaxy 系列 Force-Clean MagSafe 防變色手機殼,61,https://www.tw.coupang.com/products/Cover72-Galaxy-%E7%B3%BB%E5%88%97-Force-Clean-MagSafe-%E9%98%B2%E8%AE%8A%E8%89%B2%E6%89%8B%E6%A9%9F%E6%AE%BC-21008380002638
2026-03-03,手機,Mozoree Apple 8-pin轉Type-C耳機轉接器  白色  1個  12cm,79,https://www.tw.coupang.com/products/Mozoree-Apple-8-pin%E8%BD%89Type-C%E8%80%B3%E6%A9%9F%E8%BD%89%E6%8E%A5%E5%99%A8-21008514994133
2026-03-03,手機,HODA 好貼 0.33mm 2.5D滿版黑亮面太空膜  1片,236,https://www.tw.coupang.com/products/HODA-%E5%A5%BD%E8%B2%BC-0.33mm-2.5D%E6%BB%BF%E7%89%88%E9%BB%91%E4%BA%AE%E9%9D%A2%E5%A4%AA%E7%A9%BA%E8%86%9C-467904923402248
2026-03-03,手機,NUART 9H 0.2mm 指紋辨識鋼化玻璃螢幕保護貼 2入  1套,43,https://www.tw.coupang.com/products/NUART-9H-0.2mm-%E6%8C%87%E7%B4%8B%E8%BE%A8%E8%AD%98%E9%8B%BC%E5%8C%96%E7%8E%BB%E7%92%83%E8%9E%A2%E5%B9%95%E4%BF%9D%E8%AD%B7%E8%B2%BC-2%E5%85%A5-21008552413295
2026-03-03,手機,NUART 9H鋼化玻璃手機螢幕保護貼  2片,40,https://www.tw.coupang.com/products/NUART-9H%E9%8B%BC%E5%8C%96%E7%8E%BB%E7%92%83%E6%89%8B%E6%A9%9F%E8%9E%A2%E5%B9%95%E4%BF%9D%E8%AD%B7%E8%B2%BC-21000153505288
2026-03-03,手機,CLOVER9 Cloyhard 透明硬殼防變色手機殼,411,https://www.tw.coupang.com/products/CLOVER9-Cloyhard-%E9%80%8F%E6%98%8E%E7%A1%AC%E6%AE%BC%E9%98%B2%E8%AE%8A%E8%89%B2%E6%89%8B%E6%A9%9F%E6%AE%BC-21008448378674
2026-03-03,手機,CLOVER9 Matte Nine 防指紋霧面硬殼手機殼,408,https://www.tw.coupang.com/products/CLOVER9-Matte-Nine-%E9%98%B2%E6%8C%87%E7%B4%8B%E9%9C%A7%E9%9D%A2%E7%A1%AC%E6%AE%BC%E6%89%8B%E6%A9%9F%E6%AE%BC-21008448498037
2026-03-03,手機,VICXXO 2.5CX 高透光 9H 附安裝工具 Galaxy 指紋辨識鋼化玻璃 手機螢幕保護貼 2入  1套,73,https://www.tw.coupang.com/products/VICXXO-2.5CX-%E9%AB%98%E9%80%8F%E5%85%89-9H-%E9%99%84%E5%AE%89%E8%A3%9D%E5%B7%A5%E5%85%B7-Galaxy-%E6%8C%87%E7%B4%8B%E8%BE%A8%E8%AD%98%E9%8B%BC%E5%8C%96%E7%8E%BB%E7%92%83-%E6%89%8B%E6%A9%9F%E8%9E%A2%E5%B9%95%E4%BF%9D%E8%AD%B7%E8%B2%BC-2%E5%85%A5-21007070338328
2026-03-03,手機,HONG JIN 宏晉 磁吸式無線充電器 HJ-W02 1m  黑色  1個,99,https://www.tw.coupang.com/products/HONG-JIN-%E5%AE%8F%E6%99%89-%E7%A3%81%E5%90%B8%E5%BC%8F%E7%84%A1%E7%B7%9A%E5%85%85%E9%9B%BB%E5%99%A8-HJ-W02-1m-475543065526276
2026-03-03,手機,HONG JIN 宏晉 四合一無線充電器 適用於手機、耳機、手錶  黑色  1個,313,https://www.tw.coupang.com/products/HONG-JIN-%E5%AE%8F%E6%99%89-%E5%9B%9B%E5%90%88%E4%B8%80%E7%84%A1%E7%B7%9A%E5%85%85%E9%9B%BB%E5%99%A8-%E9%81%A9%E7%94%A8%E6%96%BC%E6%89%8B%E6%A9%9F%E3%80%81%E8%80%B3%E6%A9%9F%E3%80%81%E6%89%8B%E9%8C%B6-501223710949383
2026-03-03,手機,NUART 相機鏡頭保護滑蓋防撞手機殼,84,https://www.tw.coupang.com/products/NUART-%E7%9B%B8%E6%A9%9F%E9%8F%A1%E9%A0%AD%E4%BF%9D%E8%AD%B7%E6%BB%91%E8%93%8B%E9%98%B2%E6%92%9E%E6%89%8B%E6%A9%9F%E6%AE%BC-21007895176491
2026-03-03,手機,Apple 台灣公司貨 MT0H3TA/A 磁性充電器USB-C連接線 1m 原廠保固  白色  1條,36,https://www.tw.coupang.com/products/Apple-%E5%8F%B0%E7%81%A3%E5%85%AC%E5%8F%B8%E8%B2%A8-MT0H3TA%2FA-%E7%A3%81%E6%80%A7%E5%85%85%E9%9B%BB%E5%99%A8USB-C%E9%80%A3%E6%8E%A5%E7%B7%9A-1m-%E5%8E%9F%E5%BB%A0%E4%BF%9D%E5%9B%BA-499795261095949
2026-03-03,手機,Ringke Easy Slide 鋼化玻璃螢幕保護貼 2片  1套,130,https://www.tw.coupang.com/products/Ringke-Easy-Slide-%E9%8B%BC%E5%8C%96%E7%8E%BB%E7%92%83%E8%9E%A2%E5%B9%95%E4%BF%9D%E8%AD%B7%E8%B2%BC-2%E7%89%87-21008550349633
2026-03-03,手機,Ringke Fusion 卡片手機殼,177,https://www.tw.coupang.com/products/Ringke-Fusion-%E5%8D%A1%E7%89%87%E6%89%8B%E6%A9%9F%E6%AE%BC-21007610674619
2026-03-03,手機,Timo AirTag專用 純色矽膠保護套  綠色  1個,40,https://www.tw.coupang.com/products/Timo-AirTag%E5%B0%88%E7%94%A8-%E7%B4%94%E8%89%B2%E7%9F%BD%E8%86%A0%E4%BF%9D%E8%AD%B7%E5%A5%97-499017951707139
2026-03-03,手機,GIGASTONE 立達 USB-A to Lightning 充電資料傳輸線 GC-3800S 2.4A快充 耐磨編織線 10KG耐重  1.5m  灰色  1條,119,https://www.tw.coupang.com/products/GIGASTONE-%E7%AB%8B%E9%81%94-USB-A-to-Lightning-%E5%85%85%E9%9B%BB%E8%B3%87%E6%96%99%E5%82%B3%E8%BC%B8%E7%B7%9A-GC-3800S-2.4A%E5%BF%AB%E5%85%85-%E8%80%90%E7%A3%A8%E7%B7%A8%E7%B9%94%E7%B7%9A-10KG%E8%80%90%E9%87%8D-497260546736128
2026-03-03,手機,GIGASTONE 立達 Type C to Lightning 30w 蘋果快充線 CL-7600W  1.5m  White  1條,199,https://www.tw.coupang.com/products/GIGASTONE-%E7%AB%8B%E9%81%94-Type-C-to-Lightning-30w-%E8%98%8B%E6%9E%9C%E5%BF%AB%E5%85%85%E7%B7%9A-CL-7600W-497260546719744
2026-03-03,手機,GIGASTONE 立達 60W 傳輸充電線 USB-C to USB-C 480Mbps 1.5M 3KG 耐重力  白色  1條,79,https://www.tw.coupang.com/products/GIGASTONE-%E7%AB%8B%E9%81%94-60W-%E5%82%B3%E8%BC%B8%E5%85%85%E9%9B%BB%E7%B7%9A-USB-C-to-USB-C-480Mbps-1.5M-3KG-%E8%80%90%E9%87%8D%E5%8A%9B-497260546670593
2026-03-03,手機,Penoval Pencil AX 觸控筆 快充5分鐘可使用3小時  清純白  1個,879,https://www.tw.coupang.com/products/Penoval-Pencil-AX-%E8%A7%B8%E6%8E%A7%E7%AD%86-%E5%BF%AB%E5%85%855%E5%88%86%E9%90%98%E5%8F%AF%E4%BD%BF%E7%94%A83%E5%B0%8F%E6%99%82-496513377615873
2026-03-03,手機,YOGEMDI 手機磁吸指環扣新款金屬 手機支架 引磁環 + 引磁貼片  黑色  1個,54,https://www.tw.coupang.com/products/YOGEMDI-%E6%89%8B%E6%A9%9F%E7%A3%81%E5%90%B8%E6%8C%87%E7%92%B0%E6%89%A3%E6%96%B0%E6%AC%BE%E9%87%91%E5%B1%AC-%E6%89%8B%E6%A9%9F%E6%94%AF%E6%9E%B6-%E5%BC%95%E7%A3%81%E7%92%B0-%2B-%E5%BC%95%E7%A3%81%E8%B2%BC%E7%89%87-496503822974985
2026-03-03,手機,手機磁吸指環扣新款金屬 手機支架 引磁環 天藍色 + 引磁貼片  1組,54,https://www.tw.coupang.com/products/%E6%89%8B%E6%A9%9F%E7%A3%81%E5%90%B8%E6%8C%87%E7%92%B0%E6%89%A3%E6%96%B0%E6%AC%BE%E9%87%91%E5%B1%AC-%E6%89%8B%E6%A9%9F%E6%94%AF%E6%9E%B6-%E5%BC%95%E7%A3%81%E7%92%B0-%E5%A4%A9%E8%97%8D%E8%89%B2-%2B-%E5%BC%95%E7%A3%81%E8%B2%BC%E7%89%87-496503822925831
2026-03-03,手機,HANG 液晶顯示PD + QC4.0雙向快充行動電源 螢幕顯示電量 隨時掌握  黑色,49,https://www.tw.coupang.com/products/HANG-%E6%B6%B2%E6%99%B6%E9%A1%AF%E7%A4%BAPD-%2B-QC4.0%E9%9B%99%E5%90%91%E5%BF%AB%E5%85%85%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90-%E8%9E%A2%E5%B9%95%E9%A1%AF%E7%A4%BA%E9%9B%BB%E9%87%8F-%E9%9A%A8%E6%99%82%E6%8E%8C%E6%8F%A1-495836718923778
